sample_id,label,category,relative_path,original_path,extension
cv_00028,cv,AGRICULTURE,raw/cv/AGRICULTURE/cv_00028.pdf,C:\Users\YassineSBOUI\Downloads\CV\AGRICULTURE\89740812.pdf,.pdf
cv_00029,cv,FINANCE,raw/cv/FINANCE/cv_00029.pdf,C:\Users\YassineSBOUI\Downloads\CV\FINANCE\47410104.pdf,.pdf
cv_00030,cv,FITNESS,raw/cv/FITNESS/cv_00030.pdf,C:\Users\YassineSBOUI\Downloads\CV\FITNESS\29425788.pdf,.pdf
cv_00031,cv,INFORMATION-TECHNOLOGY,raw/cv/INFORMATION-TECHNOLOGY/cv_00031.pdf,C:\Users\YassineSBOUI\Downloads\CV\INFORMATION-TECHNOLOGY\24889109.pdf,.pdf
cv_00032,cv,SALES,raw/cv/SALES/cv_00032.pdf,C:\Users\YassineSBOUI\Downloads\CV\SALES\14267489.pdf,.pdf
cv_00033,cv,CONSTRUCTION,raw/cv/CONSTRUCTION/cv_00033.pdf,C:\Users\YassineSBOUI\Downloads\CV\CONSTRUCTION\27835351.pdf,.pdf
cv_00034,cv,TEACHER,raw/cv/TEACHER/cv_00034.pdf,C:\Users\YassineSBOUI\Downloads\CV\TEACHER\20399718.pdf,.pdf
cv_00035,cv,CONSULTANT,raw/cv/CONSULTANT/cv_00035.pdf,C:\Users\YassineSBOUI\Downloads\CV\CONSULTANT\16964217.pdf,.pdf
cv_00036,cv,FITNESS,raw/cv/FITNESS/cv_00036.pdf,C:\Users\YassineSBOUI\Downloads\CV\FITNESS\34792238.pdf,.pdf
cv_00037,cv,CHEF,raw/cv/CHEF/cv_00037.pdf,C:\Users\YassineSBOUI\Downloads\CV\CHEF\21334981.pdf,.pdf
cv_00038,cv,INFORMATION-TECHNOLOGY,raw/cv/INFORMATION-TECHNOLOGY/cv_00038.pdf,C:\Users\YassineSBOUI\Downloads\CV\INFORMATION-TECHNOLOGY\26768723.pdf,.pdf
cv_00039,cv,ENGINEERING,raw/cv/ENGINEERING/cv_00039.pdf,C:\Users\YassineSBOUI\Downloads\CV\ENGINEERING\64755882.pdf,.pdf
cv_00040,cv,ARTS,raw/cv/ARTS/cv_00040.pdf,C:\Users\YassineSBOUI\Downloads\CV\ARTS\25923361.pdf,.pdf
cv_00041,cv,FITNESS,raw/cv/FITNESS/cv_00041.pdf,C:\Users\YassineSBOUI\Downloads\CV\FITNESS\29165698.pdf,.pdf
cv_00042,cv,AVIATION,raw/cv/AVIATION/cv_00042.pdf,C:\Users\YassineSBOUI\Downloads\CV\AVIATION\10189110.pdf,.pdf
cv_00043,cv,DESIGNER,raw/cv/DESIGNER/cv_00043.pdf,C:\Users\YassineSBOUI\Downloads\CV\DESIGNER\23951429.pdf,.pdf
cv_00044,cv,HEALTHCARE,raw/cv/HEALTHCARE/cv_00044.pdf,C:\Users\YassineSBOUI\Downloads\CV\HEALTHCARE\98300955.pdf,.pdf
cv_00045,cv,BUSINESS-DEVELOPMENT,raw/cv/BUSINESS-DEVELOPMENT/cv_00045.pdf,C:\Users\YassineSBOUI\Downloads\CV\BUSINESS-DEVELOPMENT\26278597.pdf,.pdf
cv_00046,cv,DESIGNER,raw/cv/DESIGNER/cv_00046.pdf,C:\Users\YassineSBOUI\Downloads\CV\DESIGNER\12547982.pdf,.pdf
cv_00047,cv,AGRICULTURE,raw/cv/AGRICULTURE/cv_00047.pdf,C:\Users\YassineSBOUI\Downloads\CV\AGRICULTURE\28165687.pdf,.pdf
cv_00048,cv,AGRICULTURE,raw/cv/AGRICULTURE/cv_00048.pdf,C:\Users\YassineSBOUI\Downloads\CV\AGRICULTURE\15546686.pdf,.pdf
cv_00049,cv,CONSTRUCTION,raw/cv/CONSTRUCTION/cv_00049.pdf,C:\Users\YassineSBOUI\Downloads\CV\CONSTRUCTION\10820510.pdf,.pdf
cv_00050,cv,FITNESS,raw/cv/FITNESS/cv_00050.pdf,C:\Users\YassineSBOUI\Downloads\CV\FITNESS\20279756.pdf,.pdf
cv_00051,cv,ADVOCATE,raw/cv/ADVOCATE/cv_00051.pdf,C:\Users\YassineSBOUI\Downloads\CV\ADVOCATE\53169257.pdf,.pdf
cv_00052,cv,FINANCE,raw/cv/FINANCE/cv_00052.pdf,C:\Users\YassineSBOUI\Downloads\CV\FINANCE\26530575.pdf,.pdf
cv_00053,cv,INFORMATION-TECHNOLOGY,raw/cv/INFORMATION-TECHNOLOGY/cv_00053.pdf,C:\Users\YassineSBOUI\Downloads\CV\INFORMATION-TECHNOLOGY\23864648.pdf,.pdf
cv_00054,cv,AUTOMOBILE,raw/cv/AUTOMOBILE/cv_00054.pdf,C:\Users\YassineSBOUI\Downloads\CV\AUTOMOBILE\16332293.pdf,.pdf
cv_00055,cv,APPAREL,raw/cv/APPAREL/cv_00055.pdf,C:\Users\YassineSBOUI\Downloads\CV\APPAREL\15746146.pdf,.pdf
cv_00056,cv,BUSINESS-DEVELOPMENT,raw/cv/BUSINESS-DEVELOPMENT/cv_00056.pdf,C:\Users\YassineSBOUI\Downloads\CV\BUSINESS-DEVELOPMENT\12632728.pdf,.pdf
cv_00057,cv,INFORMATION-TECHNOLOGY,raw/cv/INFORMATION-TECHNOLOGY/cv_00057.pdf,C:\Users\YassineSBOUI\Downloads\CV\INFORMATION-TECHNOLOGY\10839851.pdf,.pdf
cv_00058,cv,ARTS,raw/cv/ARTS/cv_00058.pdf,C:\Users\YassineSBOUI\Downloads\CV\ARTS\27164756.pdf,.pdf
cv_00059,cv,CONSTRUCTION,raw/cv/CONSTRUCTION/cv_00059.pdf,C:\Users\YassineSBOUI\Downloads\CV\CONSTRUCTION\39908485.pdf,.pdf
cv_00060,cv,DESIGNER,raw/cv/DESIGNER/cv_00060.pdf,C:\Users\YassineSBOUI\Downloads\CV\DESIGNER\26924514.pdf,.pdf
cv_00061,cv,DIGITAL-MEDIA,raw/cv/DIGITAL-MEDIA/cv_00061.pdf,C:\Users\YassineSBOUI\Downloads\CV\DIGITAL-MEDIA\10515955.pdf,.pdf
cv_00062,cv,FITNESS,raw/cv/FITNESS/cv_00062.pdf,C:\Users\YassineSBOUI\Downloads\CV\FITNESS\24994145.pdf,.pdf
cv_00063,cv,CONSTRUCTION,raw/cv/CONSTRUCTION/cv_00063.pdf,C:\Users\YassineSBOUI\Downloads\CV\CONSTRUCTION\10100240.pdf,.pdf
cv_00064,cv,ADVOCATE,raw/cv/ADVOCATE/cv_00064.pdf,C:\Users\YassineSBOUI\Downloads\CV\ADVOCATE\13115648.pdf,.pdf
cv_00065,cv,AUTOMOBILE,raw/cv/AUTOMOBILE/cv_00065.pdf,C:\Users\YassineSBOUI\Downloads\CV\AUTOMOBILE\78357954.pdf,.pdf
cv_00066,cv,BPO,raw/cv/BPO/cv_00066.pdf,C:\Users\YassineSBOUI\Downloads\CV\BPO\69097572.pdf,.pdf
cv_00067,cv,HEALTHCARE,raw/cv/HEALTHCARE/cv_00067.pdf,C:\Users\YassineSBOUI\Downloads\CV\HEALTHCARE\46349752.pdf,.pdf
cv_00068,cv,AVIATION,raw/cv/AVIATION/cv_00068.pdf,C:\Users\YassineSBOUI\Downloads\CV\AVIATION\24589765.pdf,.pdf
cv_00069,cv,AGRICULTURE,raw/cv/AGRICULTURE/cv_00069.pdf,C:\Users\YassineSBOUI\Downloads\CV\AGRICULTURE\26070334.pdf,.pdf
cv_00070,cv,ACCOUNTANT,raw/cv/ACCOUNTANT/cv_00070.pdf,C:\Users\YassineSBOUI\Downloads\CV\ACCOUNTANT\20082776.pdf,.pdf
cv_00071,cv,BANKING,raw/cv/BANKING/cv_00071.pdf,C:\Users\YassineSBOUI\Downloads\CV\BANKING\65864767.pdf,.pdf
cv_00072,cv,ADVOCATE,raw/cv/ADVOCATE/cv_00072.pdf,C:\Users\YassineSBOUI\Downloads\CV\ADVOCATE\75057933.pdf,.pdf
cv_00073,cv,INFORMATION-TECHNOLOGY,raw/cv/INFORMATION-TECHNOLOGY/cv_00073.pdf,C:\Users\YassineSBOUI\Downloads\CV\INFORMATION-TECHNOLOGY\51363762.pdf,.pdf
cv_00074,cv,DESIGNER,raw/cv/DESIGNER/cv_00074.pdf,C:\Users\YassineSBOUI\Downloads\CV\DESIGNER\30968749.pdf,.pdf
cv_00075,cv,FITNESS,raw/cv/FITNESS/cv_00075.pdf,C:\Users\YassineSBOUI\Downloads\CV\FITNESS\95769832.pdf,.pdf
cv_00076,cv,PUBLIC-RELATIONS,raw/cv/PUBLIC-RELATIONS/cv_00076.pdf,C:\Users\YassineSBOUI\Downloads\CV\PUBLIC-RELATIONS\14128006.pdf,.pdf
cv_00077,cv,ENGINEERING,raw/cv/ENGINEERING/cv_00077.pdf,C:\Users\YassineSBOUI\Downloads\CV\ENGINEERING\36149549.pdf,.pdf
cv_00078,cv,ACCOUNTANT,raw/cv/ACCOUNTANT/cv_00078.pdf,C:\Users\YassineSBOUI\Downloads\CV\ACCOUNTANT\24799301.pdf,.pdf
cv_00079,cv,BPO,raw/cv/BPO/cv_00079.pdf,C:\Users\YassineSBOUI\Downloads\CV\BPO\18589927.pdf,.pdf
cv_00080,cv,TEACHER,raw/cv/TEACHER/cv_00080.pdf,C:\Users\YassineSBOUI\Downloads\CV\TEACHER\13087952.pdf,.pdf
cv_00081,cv,INFORMATION-TECHNOLOGY,raw/cv/INFORMATION-TECHNOLOGY/cv_00081.pdf,C:\Users\YassineSBOUI\Downloads\CV\INFORMATION-TECHNOLOGY\91697974.pdf,.pdf
cv_00082,cv,AGRICULTURE,raw/cv/AGRICULTURE/cv_00082.pdf,C:\Users\YassineSBOUI\Downloads\CV\AGRICULTURE\69336473.pdf,.pdf
cv_00083,cv,SALES,raw/cv/SALES/cv_00083.pdf,C:\Users\YassineSBOUI\Downloads\CV\SALES\17704246.pdf,.pdf
cv_00084,cv,BANKING,raw/cv/BANKING/cv_00084.pdf,C:\Users\YassineSBOUI\Downloads\CV\BANKING\68781345.pdf,.pdf
cv_00085,cv,FINANCE,raw/cv/FINANCE/cv_00085.pdf,C:\Users\YassineSBOUI\Downloads\CV\FINANCE\88038965.pdf,.pdf
cv_00086,cv,APPAREL,raw/cv/APPAREL/cv_00086.pdf,C:\Users\YassineSBOUI\Downloads\CV\APPAREL\33665485.pdf,.pdf
cv_00087,cv,CONSULTANT,raw/cv/CONSULTANT/cv_00087.pdf,C:\Users\YassineSBOUI\Downloads\CV\CONSULTANT\51724595.pdf,.pdf
cv_00088,cv,SALES,raw/cv/SALES/cv_00088.pdf,C:\Users\YassineSBOUI\Downloads\CV\SALES\18328743.pdf,.pdf
cv_00089,cv,HR,raw/cv/HR/cv_00089.pdf,C:\Users\YassineSBOUI\Downloads\CV\HR\17412079.pdf,.pdf
cv_00090,cv,HEALTHCARE,raw/cv/HEALTHCARE/cv_00090.pdf,C:\Users\YassineSBOUI\Downloads\CV\HEALTHCARE\19090468.pdf,.pdf
cv_00091,cv,ADVOCATE,raw/cv/ADVOCATE/cv_00091.pdf,C:\Users\YassineSBOUI\Downloads\CV\ADVOCATE\19926135.pdf,.pdf
cv_00092,cv,CONSTRUCTION,raw/cv/CONSTRUCTION/cv_00092.pdf,C:\Users\YassineSBOUI\Downloads\CV\CONSTRUCTION\39566718.pdf,.pdf
cv_00093,cv,ADVOCATE,raw/cv/ADVOCATE/cv_00093.pdf,C:\Users\YassineSBOUI\Downloads\CV\ADVOCATE\14146106.pdf,.pdf
cv_00094,cv,HEALTHCARE,raw/cv/HEALTHCARE/cv_00094.pdf,C:\Users\YassineSBOUI\Downloads\CV\HEALTHCARE\97169343.pdf,.pdf
cv_00095,cv,CONSULTANT,raw/cv/CONSULTANT/cv_00095.pdf,C:\Users\YassineSBOUI\Downloads\CV\CONSULTANT\29076405.pdf,.pdf
cv_00096,cv,BANKING,raw/cv/BANKING/cv_00096.pdf,C:\Users\YassineSBOUI\Downloads\CV\BANKING\19437318.pdf,.pdf
cv_00097,cv,ARTS,raw/cv/ARTS/cv_00097.pdf,C:\Users\YassineSBOUI\Downloads\CV\ARTS\22593054.pdf,.pdf
cv_00098,cv,FITNESS,raw/cv/FITNESS/cv_00098.pdf,C:\Users\YassineSBOUI\Downloads\CV\FITNESS\80000092.pdf,.pdf
cv_00099,cv,FITNESS,raw/cv/FITNESS/cv_00099.pdf,C:\Users\YassineSBOUI\Downloads\CV\FITNESS\24444525.pdf,.pdf
cv_00100,cv,CONSTRUCTION,raw/cv/CONSTRUCTION/cv_00100.pdf,C:\Users\YassineSBOUI\Downloads\CV\CONSTRUCTION\16203589.pdf,.pdf
cv_00101,cv,FINANCE,raw/cv/FINANCE/cv_00101.pdf,C:\Users\YassineSBOUI\Downloads\CV\FINANCE\10549585.pdf,.pdf
cv_00102,cv,ARTS,raw/cv/ARTS/cv_00102.pdf,C:\Users\YassineSBOUI\Downloads\CV\ARTS\11360471.pdf,.pdf
cv_00103,cv,BUSINESS-DEVELOPMENT,raw/cv/BUSINESS-DEVELOPMENT/cv_00103.pdf,C:\Users\YassineSBOUI\Downloads\CV\BUSINESS-DEVELOPMENT\40792022.pdf,.pdf
cv_00104,cv,SALES,raw/cv/SALES/cv_00104.pdf,C:\Users\YassineSBOUI\Downloads\CV\SALES\28867567.pdf,.pdf
cv_00105,cv,ENGINEERING,raw/cv/ENGINEERING/cv_00105.pdf,C:\Users\YassineSBOUI\Downloads\CV\ENGINEERING\77828437.pdf,.pdf
cv_00106,cv,ARTS,raw/cv/ARTS/cv_00106.pdf,C:\Users\YassineSBOUI\Downloads\CV\ARTS\36379931.pdf,.pdf
cv_00107,cv,HR,raw/cv/HR/cv_00107.pdf,C:\Users\YassineSBOUI\Downloads\CV\HR\57667857.pdf,.pdf
cv_00108,cv,HEALTHCARE,raw/cv/HEALTHCARE/cv_00108.pdf,C:\Users\YassineSBOUI\Downloads\CV\HEALTHCARE\58879993.pdf,.pdf
cv_00109,cv,FITNESS,raw/cv/FITNESS/cv_00109.pdf,C:\Users\YassineSBOUI\Downloads\CV\FITNESS\25482567.pdf,.pdf
cv_00110,cv,CONSULTANT,raw/cv/CONSULTANT/cv_00110.pdf,C:\Users\YassineSBOUI\Downloads\CV\CONSULTANT\26919036.pdf,.pdf
cv_00111,cv,BUSINESS-DEVELOPMENT,raw/cv/BUSINESS-DEVELOPMENT/cv_00111.pdf,C:\Users\YassineSBOUI\Downloads\CV\BUSINESS-DEVELOPMENT\76916835.pdf,.pdf
cv_00112,cv,HEALTHCARE,raw/cv/HEALTHCARE/cv_00112.pdf,C:\Users\YassineSBOUI\Downloads\CV\HEALTHCARE\28745844.pdf,.pdf
cv_00113,cv,AUTOMOBILE,raw/cv/AUTOMOBILE/cv_00113.pdf,C:\Users\YassineSBOUI\Downloads\CV\AUTOMOBILE\24592627.pdf,.pdf
cv_00114,cv,ENGINEERING,raw/cv/ENGINEERING/cv_00114.pdf,C:\Users\YassineSBOUI\Downloads\CV\ENGINEERING\49127329.pdf,.pdf
cv_00115,cv,HR,raw/cv/HR/cv_00115.pdf,C:\Users\YassineSBOUI\Downloads\CV\HR\19867922.pdf,.pdf
cv_00116,cv,CONSTRUCTION,raw/cv/CONSTRUCTION/cv_00116.pdf,C:\Users\YassineSBOUI\Downloads\CV\CONSTRUCTION\22718826.pdf,.pdf
cv_00117,cv,ENGINEERING,raw/cv/ENGINEERING/cv_00117.pdf,C:\Users\YassineSBOUI\Downloads\CV\ENGINEERING\23234047.pdf,.pdf
cv_00118,cv,HR,raw/cv/HR/cv_00118.pdf,C:\Users\YassineSBOUI\Downloads\CV\HR\20806155.pdf,.pdf
cv_00119,cv,HR,raw/cv/HR/cv_00119.pdf,C:\Users\YassineSBOUI\Downloads\CV\HR\18155310.pdf,.pdf
cv_00120,cv,BUSINESS-DEVELOPMENT,raw/cv/BUSINESS-DEVELOPMENT/cv_00120.pdf,C:\Users\YassineSBOUI\Downloads\CV\BUSINESS-DEVELOPMENT\20317319.pdf,.pdf
cv_00121,cv,CONSULTANT,raw/cv/CONSULTANT/cv_00121.pdf,C:\Users\YassineSBOUI\Downloads\CV\CONSULTANT\15119529.pdf,.pdf
cv_00122,cv,ARTS,raw/cv/ARTS/cv_00122.pdf,C:\Users\YassineSBOUI\Downloads\CV\ARTS\28471099.pdf,.pdf
cv_00123,cv,ENGINEERING,raw/cv/ENGINEERING/cv_00123.pdf,C:\Users\YassineSBOUI\Downloads\CV\ENGINEERING\17488801.pdf,.pdf
cv_00124,cv,BANKING,raw/cv/BANKING/cv_00124.pdf,C:\Users\YassineSBOUI\Downloads\CV\BANKING\77156708.pdf,.pdf
cv_00125,cv,TEACHER,raw/cv/TEACHER/cv_00125.pdf,C:\Users\YassineSBOUI\Downloads\CV\TEACHER\21531811.pdf,.pdf
cv_00126,cv,AVIATION,raw/cv/AVIATION/cv_00126.pdf,C:\Users\YassineSBOUI\Downloads\CV\AVIATION\15823995.pdf,.pdf
cv_00127,cv,ADVOCATE,raw/cv/ADVOCATE/cv_00127.pdf,C:\Users\YassineSBOUI\Downloads\CV\ADVOCATE\74126637.pdf,.pdf
cv_00128,cv,CHEF,raw/cv/CHEF/cv_00128.pdf,C:\Users\YassineSBOUI\Downloads\CV\CHEF\29775391.pdf,.pdf
cv_00129,cv,CONSULTANT,raw/cv/CONSULTANT/cv_00129.pdf,C:\Users\YassineSBOUI\Downloads\CV\CONSULTANT\38399177.pdf,.pdf
cv_00130,cv,TEACHER,raw/cv/TEACHER/cv_00130.pdf,C:\Users\YassineSBOUI\Downloads\CV\TEACHER\16270906.pdf,.pdf
cv_00131,cv,ENGINEERING,raw/cv/ENGINEERING/cv_00131.pdf,C:\Users\YassineSBOUI\Downloads\CV\ENGINEERING\17108676.pdf,.pdf
cv_00132,cv,INFORMATION-TECHNOLOGY,raw/cv/INFORMATION-TECHNOLOGY/cv_00132.pdf,C:\Users\YassineSBOUI\Downloads\CV\INFORMATION-TECHNOLOGY\66832845.pdf,.pdf
cv_00133,cv,FINANCE,raw/cv/FINANCE/cv_00133.pdf,C:\Users\YassineSBOUI\Downloads\CV\FINANCE\37931076.pdf,.pdf
cv_00134,cv,CONSTRUCTION,raw/cv/CONSTRUCTION/cv_00134.pdf,C:\Users\YassineSBOUI\Downloads\CV\CONSTRUCTION\51638201.pdf,.pdf
cv_00135,cv,ACCOUNTANT,raw/cv/ACCOUNTANT/cv_00135.pdf,C:\Users\YassineSBOUI\Downloads\CV\ACCOUNTANT\28939941.pdf,.pdf
cv_00136,cv,PUBLIC-RELATIONS,raw/cv/PUBLIC-RELATIONS/cv_00136.pdf,C:\Users\YassineSBOUI\Downloads\CV\PUBLIC-RELATIONS\31211074.pdf,.pdf
cv_00137,cv,BPO,raw/cv/BPO/cv_00137.pdf,C:\Users\YassineSBOUI\Downloads\CV\BPO\15573418.pdf,.pdf
cv_00138,cv,HEALTHCARE,raw/cv/HEALTHCARE/cv_00138.pdf,C:\Users\YassineSBOUI\Downloads\CV\HEALTHCARE\23814777.pdf,.pdf
cv_00139,cv,ENGINEERING,raw/cv/ENGINEERING/cv_00139.pdf,C:\Users\YassineSBOUI\Downloads\CV\ENGINEERING\10219099.pdf,.pdf
cv_00140,cv,FITNESS,raw/cv/FITNESS/cv_00140.pdf,C:\Users\YassineSBOUI\Downloads\CV\FITNESS\14515954.pdf,.pdf
cv_00141,cv,FITNESS,raw/cv/FITNESS/cv_00141.pdf,C:\Users\YassineSBOUI\Downloads\CV\FITNESS\23477199.pdf,.pdf
cv_00142,cv,CHEF,raw/cv/CHEF/cv_00142.pdf,C:\Users\YassineSBOUI\Downloads\CV\CHEF\10653119.pdf,.pdf
cv_00143,cv,BUSINESS-DEVELOPMENT,raw/cv/BUSINESS-DEVELOPMENT/cv_00143.pdf,C:\Users\YassineSBOUI\Downloads\CV\BUSINESS-DEVELOPMENT\25397102.pdf,.pdf
cv_00144,cv,DESIGNER,raw/cv/DESIGNER/cv_00144.pdf,C:\Users\YassineSBOUI\Downloads\CV\DESIGNER\26503829.pdf,.pdf
cv_00145,cv,ENGINEERING,raw/cv/ENGINEERING/cv_00145.pdf,C:\Users\YassineSBOUI\Downloads\CV\ENGINEERING\36517781.pdf,.pdf
cv_00146,cv,PUBLIC-RELATIONS,raw/cv/PUBLIC-RELATIONS/cv_00146.pdf,C:\Users\YassineSBOUI\Downloads\CV\PUBLIC-RELATIONS\45462344.pdf,.pdf
cv_00147,cv,ADVOCATE,raw/cv/ADVOCATE/cv_00147.pdf,C:\Users\YassineSBOUI\Downloads\CV\ADVOCATE\40088790.pdf,.pdf
cv_00148,cv,BUSINESS-DEVELOPMENT,raw/cv/BUSINESS-DEVELOPMENT/cv_00148.pdf,C:\Users\YassineSBOUI\Downloads\CV\BUSINESS-DEVELOPMENT\12059198.pdf,.pdf
cv_00149,cv,FINANCE,raw/cv/FINANCE/cv_00149.pdf,C:\Users\YassineSBOUI\Downloads\CV\FINANCE\24967652.pdf,.pdf
cv_00150,cv,INFORMATION-TECHNOLOGY,raw/cv/INFORMATION-TECHNOLOGY/cv_00150.pdf,C:\Users\YassineSBOUI\Downloads\CV\INFORMATION-TECHNOLOGY\91635250.pdf,.pdf
cv_00151,cv,CONSTRUCTION,raw/cv/CONSTRUCTION/cv_00151.pdf,C:\Users\YassineSBOUI\Downloads\CV\CONSTRUCTION\12826414.pdf,.pdf
cv_00152,cv,APPAREL,raw/cv/APPAREL/cv_00152.pdf,C:\Users\YassineSBOUI\Downloads\CV\APPAREL\27694040.pdf,.pdf
cv_00153,cv,SALES,raw/cv/SALES/cv_00153.pdf,C:\Users\YassineSBOUI\Downloads\CV\SALES\58428843.pdf,.pdf
cv_00154,cv,HEALTHCARE,raw/cv/HEALTHCARE/cv_00154.pdf,C:\Users\YassineSBOUI\Downloads\CV\HEALTHCARE\11704150.pdf,.pdf
cv_00155,cv,ARTS,raw/cv/ARTS/cv_00155.pdf,C:\Users\YassineSBOUI\Downloads\CV\ARTS\26410763.pdf,.pdf
cv_00156,cv,ADVOCATE,raw/cv/ADVOCATE/cv_00156.pdf,C:\Users\YassineSBOUI\Downloads\CV\ADVOCATE\91051945.pdf,.pdf
cv_00157,cv,AGRICULTURE,raw/cv/AGRICULTURE/cv_00157.pdf,C:\Users\YassineSBOUI\Downloads\CV\AGRICULTURE\11676151.pdf,.pdf
cv_00158,cv,BPO,raw/cv/BPO/cv_00158.pdf,C:\Users\YassineSBOUI\Downloads\CV\BPO\11183737.pdf,.pdf
cv_00159,cv,ACCOUNTANT,raw/cv/ACCOUNTANT/cv_00159.pdf,C:\Users\YassineSBOUI\Downloads\CV\ACCOUNTANT\49997097.pdf,.pdf
cv_00160,cv,ENGINEERING,raw/cv/ENGINEERING/cv_00160.pdf,C:\Users\YassineSBOUI\Downloads\CV\ENGINEERING\17043822.pdf,.pdf
cv_00161,cv,APPAREL,raw/cv/APPAREL/cv_00161.pdf,C:\Users\YassineSBOUI\Downloads\CV\APPAREL\15479281.pdf,.pdf
cv_00162,cv,AUTOMOBILE,raw/cv/AUTOMOBILE/cv_00162.pdf,C:\Users\YassineSBOUI\Downloads\CV\AUTOMOBILE\17510973.pdf,.pdf
